executed query: { SELECT id FROM courses WHERE id = $1 AND deleted_at IS null  , params: 247; duration: 735ms }
executed query: { SELECT id FROM courses WHERE id = $1 AND deleted_at IS null  , params: 24; duration: 603ms }
executed query: { SELECT id FROM courses WHERE id = $1 AND deleted_at IS null  , params: 24; duration: 971ms }
executed query: { query: SELECT * from courses where id = $1 and deleted_at is NULL, params: 24; duration: 513ms, rows: 1 }
executed query: { query: BEGIN, params: undefined; duration: 20ms, rows: null }
executed query: { query: UPDATE courses SET name = $1, description = $2, price = $3 RETURNING *, params: CURSO DE HIPNOSE 9.0,TESTE UPDATE9,13.00; duration: 21ms, rows: 1 }
executed query: { SELECT id FROM courses_categories WHERE id = $1 AND deleted_at IS null  , params: 1; duration: 595ms }
executed query: { query: INSERT INTO courses_flags(course_id, category_id, created_by) VALUES ($1, $2, $3), params: 24,1,20; duration: 93ms, rows: 1 }
executed query: { query: COMMIT, params: undefined; duration: 25ms, rows: null }
executed query: { SELECT id FROM courses WHERE id = $1 AND deleted_at IS null  , params: 24; duration: 910ms }
executed query: { query: SELECT * from courses where id = $1 and deleted_at is NULL, params: 24; duration: 541ms, rows: 1 }
executed query: { query: BEGIN, params: undefined; duration: 21ms, rows: null }
executed query: { query: UPDATE courses SET name = $1, description = $2, price = $3 RETURNING *, params: CURSO DE HIPNOSE 10.0,TESTE UPDATE10,14.00; duration: 22ms, rows: 1 }
executed query: { SELECT id FROM courses_categories WHERE id = $1 AND deleted_at IS null  , params: 1; duration: 605ms }
executed query: { query: INSERT INTO courses_flags(course_id, category_id, created_by) VALUES ($1, $2, $3), params: 24,1,20; duration: 184ms, rows: 1 }
executed query: { query: COMMIT, params: undefined; duration: 36ms, rows: null }
